guid,label,output
100100145_chunk10_0,Bulgarian,Bulgarian
100100145_chunk10_1,Bulgarian,Bulgarian
100100145_chunk10_2,Bulgarian,Russian
100100145_chunk10_3,Bulgarian,Russian
100100145_chunk11_0,Bulgarian,Bulgarian
100100145_chunk11_1,Bulgarian,Bulgarian
100100145_chunk11_2,Bulgarian,Bulgarian
100100145_chunk11_3,Bulgarian,Bulgarian
100100145_chunk11_4,Bulgarian,Bulgarian
100100145_chunk12_0,Bulgarian,Bulgarian
100100145_chunk12_1,Bulgarian,Bulgarian
100100145_chunk12_2,Bulgarian,Bulgarian
100100145_chunk12_3,Bulgarian,Bulgarian
100100145_chunk13_0,Bulgarian,Bulgarian
100100145_chunk13_1,Bulgarian,Bulgarian
100100145_chunk13_2,Bulgarian,Bulgarian
100100145_chunk13_3,Bulgarian,Bulgarian
100100145_chunk14_0,Bulgarian,Bulgarian
100100145_chunk14_1,Bulgarian,Bulgarian
100100145_chunk14_2,Bulgarian,Bulgarian
100100145_chunk14_3,Bulgarian,Greek
100100145_chunk15_0,Bulgarian,Bulgarian
100100145_chunk15_1,Bulgarian,Bulgarian
100100145_chunk15_2,Bulgarian,Bulgarian
100100145_chunk15_3,Bulgarian,Bulgarian
100100145_chunk15_4,Bulgarian,Greek
100100145_chunk16_0,Bulgarian,Bulgarian
100100145_chunk16_1,Bulgarian,Bulgarian
100100145_chunk16_2,Bulgarian,Bulgarian
100100145_chunk16_3,Bulgarian,Bulgarian
100100145_chunk16_4,Bulgarian,Bulgarian
100100145_chunk17_0,Bulgarian,Bulgarian
100100145_chunk17_1,Bulgarian,Bulgarian
100100145_chunk17_2,Bulgarian,Bulgarian
100100145_chunk17_3,Bulgarian,Bulgarian
100100145_chunk17_4,Bulgarian,Bulgarian
100100145_chunk1_0,Bulgarian,Bulgarian
100100145_chunk1_1,Bulgarian,Bulgarian
100100145_chunk1_2,Bulgarian,Bulgarian
100100145_chunk1_3,Bulgarian,Bulgarian
100100145_chunk1_4,Bulgarian,Bulgarian
100100145_chunk2_0,Bulgarian,Bulgarian
100100145_chunk2_1,Bulgarian,Greek
100100145_chunk2_2,Bulgarian,Bulgarian
100100145_chunk2_3,Bulgarian,Bulgarian
100100145_chunk2_4,Bulgarian,Bulgarian
100100145_chunk3_0,Bulgarian,Bulgarian
100100145_chunk3_1,Bulgarian,Bulgarian
100100145_chunk3_2,Bulgarian,Bulgarian
100100145_chunk3_3,Bulgarian,Bulgarian
100100145_chunk4_0,Bulgarian,Bulgarian
100100145_chunk4_1,Bulgarian,Bulgarian
100100145_chunk4_2,Bulgarian,Bulgarian
100100145_chunk4_3,Bulgarian,Bulgarian
100100145_chunk5_0,Bulgarian,Bulgarian
100100145_chunk5_1,Bulgarian,Bulgarian
100100145_chunk5_2,Bulgarian,Bulgarian
100100145_chunk5_3,Bulgarian,Bulgarian
100100145_chunk6_0,Bulgarian,Bulgarian
100100145_chunk6_1,Bulgarian,Bulgarian
100100145_chunk6_2,Bulgarian,Bulgarian
100100145_chunk6_3,Bulgarian,Czech
100100145_chunk7_0,Bulgarian,Greek
100100145_chunk7_1,Bulgarian,Bulgarian
100100145_chunk7_2,Bulgarian,Bulgarian
100100145_chunk7_3,Bulgarian,Bulgarian
100100145_chunk7_4,Bulgarian,Bulgarian
100100145_chunk8_0,Bulgarian,Bulgarian
100100145_chunk8_1,Bulgarian,Bulgarian
100100145_chunk8_2,Bulgarian,Bulgarian
100100145_chunk8_3,Bulgarian,Bulgarian
100100145_chunk8_4,Bulgarian,Russian
100100145_chunk9_0,Bulgarian,Bulgarian
100100145_chunk9_1,Bulgarian,Bulgarian
100100145_chunk9_2,Bulgarian,Bulgarian
100100145_chunk9_3,Bulgarian,Bulgarian
100100145_chunk9_4,Bulgarian,Bulgarian
100courics_chunk1_0,Hungarian,Hungarian
100courics_chunk1_1,Hungarian,Bulgarian
100courics_chunk1_2,Hungarian,Hungarian
100courics_chunk2_0,Hungarian,Bulgarian
100courics_chunk2_1,Hungarian,Bulgarian
100courics_chunk2_2,Hungarian,Bulgarian
100courics_chunk2_3,Hungarian,Bulgarian
100courics_chunk2_4,Hungarian,Spanish
100courics_chunk3_0,Hungarian,Bulgarian
100courics_chunk3_1,Hungarian,Romanian
100courics_chunk3_2,Hungarian,Bulgarian
100courics_chunk4_0,Hungarian,Bulgarian
100courics_chunk4_1,Hungarian,Bulgarian
100courics_chunk4_2,Hungarian,Romanian
100courics_chunk5_0,Hungarian,Bulgarian
100courics_chunk5_1,Hungarian,Bulgarian
100courics_chunk5_2,Hungarian,Serbian
100courics_chunk6_0,Hungarian,Romanian
100courics_chunk6_1,Hungarian,Hungarian
100courics_chunk6_2,Hungarian,Bulgarian
100courics_chunk7_0,Hungarian,Hungarian
100courics_chunk7_1,Hungarian,Bulgarian
100courics_chunk7_2,Hungarian,Czech
100courics_chunk7_3,Hungarian,Bulgarian
100courics_chunk8_0,Hungarian,Hungarian
100courics_chunk8_1,Hungarian,Romanian
100courics_chunk8_2,Hungarian,Romanian
100courics_chunk8_3,Hungarian,Romanian
1Warrior4All_chunk10_0,Portuguese,Greek
1Warrior4All_chunk10_1,Portuguese,Spanish
1Warrior4All_chunk10_2,Portuguese,Spanish
1Warrior4All_chunk11_0,Portuguese,Spanish
1Warrior4All_chunk11_1,Portuguese,Lithuanian
1Warrior4All_chunk11_2,Portuguese,Lithuanian
1Warrior4All_chunk12_0,Portuguese,Spanish
1Warrior4All_chunk12_1,Portuguese,Spanish
1Warrior4All_chunk12_2,Portuguese,Portuguese
1Warrior4All_chunk13_0,Portuguese,Spanish
1Warrior4All_chunk13_1,Portuguese,Spanish
1Warrior4All_chunk13_2,Portuguese,Bulgarian
1Warrior4All_chunk13_3,Portuguese,Greek
1Warrior4All_chunk14_0,Portuguese,Spanish
1Warrior4All_chunk14_1,Portuguese,Bulgarian
1Warrior4All_chunk14_2,Portuguese,Spanish
1Warrior4All_chunk14_3,Portuguese,Bulgarian
1Warrior4All_chunk15_0,Portuguese,Spanish
1Warrior4All_chunk15_1,Portuguese,Greek
1Warrior4All_chunk15_2,Portuguese,Greek
1Warrior4All_chunk16_0,Portuguese,Greek
1Warrior4All_chunk16_1,Portuguese,Lithuanian
1Warrior4All_chunk16_2,Portuguese,Greek
1Warrior4All_chunk16_3,Portuguese,Romanian
1Warrior4All_chunk17_0,Portuguese,Bulgarian
1Warrior4All_chunk17_1,Portuguese,Bulgarian
1Warrior4All_chunk17_2,Portuguese,Bulgarian
1Warrior4All_chunk1_0,Portuguese,Spanish
1Warrior4All_chunk1_1,Portuguese,Spanish
1Warrior4All_chunk1_2,Portuguese,Portuguese
1Warrior4All_chunk2_0,Portuguese,Spanish
1Warrior4All_chunk2_1,Portuguese,Greek
1Warrior4All_chunk2_2,Portuguese,Spanish
1Warrior4All_chunk3_0,Portuguese,Spanish
1Warrior4All_chunk3_1,Portuguese,Greek
1Warrior4All_chunk3_2,Portuguese,Spanish
1Warrior4All_chunk4_0,Portuguese,Bulgarian
1Warrior4All_chunk4_1,Portuguese,Spanish
1Warrior4All_chunk4_2,Portuguese,Spanish
1Warrior4All_chunk5_0,Portuguese,Greek
1Warrior4All_chunk5_1,Portuguese,Greek
1Warrior4All_chunk5_2,Portuguese,Spanish
1Warrior4All_chunk5_3,Portuguese,Spanish
1Warrior4All_chunk6_0,Portuguese,Bulgarian
1Warrior4All_chunk6_1,Portuguese,Spanish
1Warrior4All_chunk6_2,Portuguese,French
1Warrior4All_chunk7_0,Portuguese,Spanish
1Warrior4All_chunk7_1,Portuguese,Spanish
1Warrior4All_chunk7_2,Portuguese,Spanish
1Warrior4All_chunk8_0,Portuguese,Bulgarian
1Warrior4All_chunk8_1,Portuguese,Bulgarian
1Warrior4All_chunk8_2,Portuguese,Spanish
1Warrior4All_chunk9_0,Portuguese,Bulgarian
1Warrior4All_chunk9_1,Portuguese,Spanish
1Warrior4All_chunk9_2,Portuguese,Spanish
4_times_shadowbanned_chunk10_0,Greek,Greek
4_times_shadowbanned_chunk10_1,Greek,Greek
4_times_shadowbanned_chunk10_2,Greek,Greek
4_times_shadowbanned_chunk11_0,Greek,Bulgarian
4_times_shadowbanned_chunk11_1,Greek,Bulgarian
4_times_shadowbanned_chunk11_2,Greek,Bulgarian
4_times_shadowbanned_chunk12_0,Greek,Bulgarian
4_times_shadowbanned_chunk12_1,Greek,Greek
4_times_shadowbanned_chunk12_2,Greek,Bulgarian
4_times_shadowbanned_chunk13_0,Greek,Greek
