guid,input,output,input_label,output_label
00731,8.0,8.0,SPA,SPA
06916,1.0,1.0,CHI,CHI
00282,10.0,10.0,TUR,TUR
05323,1.0,1.0,CHI,CHI
08672,8.0,8.0,SPA,SPA
06213,9.0,4.0,TEL,HIN
04291,6.0,6.0,JPN,JPN
07236,3.0,3.0,GER,GER
01497,8.0,8.0,SPA,SPA
11964,4.0,4.0,HIN,HIN
03094,0.0,0.0,ARA,ARA
01817,5.0,5.0,ITA,ITA
06774,9.0,4.0,TEL,HIN
11512,10.0,0.0,TUR,ARA
09487,8.0,8.0,SPA,SPA
04053,3.0,3.0,GER,GER
02921,5.0,5.0,ITA,ITA
06767,7.0,6.0,KOR,JPN
05730,5.0,5.0,ITA,ITA
04306,5.0,5.0,ITA,ITA
03588,1.0,1.0,CHI,CHI
07795,0.0,0.0,ARA,ARA
10312,0.0,0.0,ARA,ARA
04329,4.0,0.0,HIN,ARA
12185,3.0,3.0,GER,GER
05248,10.0,10.0,TUR,TUR
05582,6.0,6.0,JPN,JPN
04447,6.0,6.0,JPN,JPN
11191,2.0,2.0,FRE,FRE
11756,5.0,5.0,ITA,ITA
10530,6.0,6.0,JPN,JPN
02263,4.0,4.0,HIN,HIN
00693,4.0,4.0,HIN,HIN
10908,6.0,6.0,JPN,JPN
03624,6.0,6.0,JPN,JPN
03005,9.0,9.0,TEL,TEL
06209,8.0,8.0,SPA,SPA
08760,1.0,6.0,CHI,JPN
04261,5.0,5.0,ITA,ITA
04903,1.0,1.0,CHI,CHI
01715,0.0,0.0,ARA,ARA
07125,10.0,10.0,TUR,TUR
00289,0.0,0.0,ARA,ARA
06572,1.0,1.0,CHI,CHI
02690,10.0,10.0,TUR,TUR
06496,7.0,7.0,KOR,KOR
05145,6.0,6.0,JPN,JPN
00734,7.0,6.0,KOR,JPN
10098,1.0,7.0,CHI,KOR
10746,9.0,9.0,TEL,TEL
04509,9.0,4.0,TEL,HIN
02545,5.0,5.0,ITA,ITA
09811,3.0,3.0,GER,GER
00056,4.0,4.0,HIN,HIN
02014,3.0,3.0,GER,GER
05846,10.0,10.0,TUR,TUR
12595,9.0,9.0,TEL,TEL
01833,7.0,7.0,KOR,KOR
09717,7.0,7.0,KOR,KOR
10084,2.0,2.0,FRE,FRE
07606,1.0,1.0,CHI,CHI
01320,7.0,7.0,KOR,KOR
03249,6.0,6.0,JPN,JPN
03013,2.0,2.0,FRE,FRE
08310,3.0,3.0,GER,GER
07369,5.0,5.0,ITA,ITA
01079,6.0,6.0,JPN,JPN
05436,6.0,6.0,JPN,JPN
10164,2.0,8.0,FRE,SPA
06702,6.0,6.0,JPN,JPN
01136,1.0,1.0,CHI,CHI
08339,4.0,4.0,HIN,HIN
07333,4.0,4.0,HIN,HIN
00304,2.0,2.0,FRE,FRE
00350,1.0,7.0,CHI,KOR
04233,6.0,6.0,JPN,JPN
11603,6.0,1.0,JPN,CHI
00158,2.0,5.0,FRE,ITA
09630,8.0,8.0,SPA,SPA
01314,8.0,8.0,SPA,SPA
06451,0.0,0.0,ARA,ARA
02318,0.0,0.0,ARA,ARA
07884,8.0,8.0,SPA,SPA
04966,8.0,8.0,SPA,SPA
09424,2.0,5.0,FRE,ITA
09178,1.0,1.0,CHI,CHI
02888,4.0,4.0,HIN,HIN
06537,1.0,0.0,CHI,ARA
06649,1.0,1.0,CHI,CHI
07217,4.0,4.0,HIN,HIN
01343,4.0,4.0,HIN,HIN
07788,5.0,5.0,ITA,ITA
07835,6.0,6.0,JPN,JPN
10083,9.0,9.0,TEL,TEL
10863,1.0,6.0,CHI,JPN
01531,1.0,1.0,CHI,CHI
04321,10.0,10.0,TUR,TUR
02113,7.0,6.0,KOR,JPN
05550,0.0,0.0,ARA,ARA
09987,6.0,6.0,JPN,JPN
04336,5.0,5.0,ITA,ITA
03890,0.0,9.0,ARA,TEL
06615,2.0,2.0,FRE,FRE
07696,8.0,8.0,SPA,SPA
10634,8.0,8.0,SPA,SPA
04869,0.0,0.0,ARA,ARA
00333,6.0,6.0,JPN,JPN
08048,1.0,1.0,CHI,CHI
07783,3.0,3.0,GER,GER
12089,10.0,0.0,TUR,ARA
09467,4.0,3.0,HIN,GER
03322,9.0,9.0,TEL,TEL
10715,10.0,10.0,TUR,TUR
10654,9.0,9.0,TEL,TEL
09649,3.0,3.0,GER,GER
09118,3.0,3.0,GER,GER
04290,7.0,7.0,KOR,KOR
12993,3.0,3.0,GER,GER
08522,3.0,3.0,GER,GER
10817,1.0,1.0,CHI,CHI
02823,7.0,7.0,KOR,KOR
06795,1.0,1.0,CHI,CHI
00846,6.0,6.0,JPN,JPN
06195,0.0,0.0,ARA,ARA
02930,5.0,5.0,ITA,ITA
02808,7.0,7.0,KOR,KOR
04859,6.0,6.0,JPN,JPN
02029,8.0,5.0,SPA,ITA
08498,4.0,4.0,HIN,HIN
00265,8.0,8.0,SPA,SPA
02856,8.0,8.0,SPA,SPA
12331,2.0,2.0,FRE,FRE
12342,0.0,0.0,ARA,ARA
04207,9.0,9.0,TEL,TEL
00354,0.0,1.0,ARA,CHI
07521,8.0,1.0,SPA,CHI
07756,7.0,6.0,KOR,JPN
04607,4.0,3.0,HIN,GER
11897,5.0,8.0,ITA,SPA
05011,10.0,10.0,TUR,TUR
05544,2.0,1.0,FRE,CHI
01355,2.0,4.0,FRE,HIN
12661,0.0,0.0,ARA,ARA
02646,7.0,7.0,KOR,KOR
04241,10.0,2.0,TUR,FRE
03226,5.0,5.0,ITA,ITA
10121,5.0,5.0,ITA,ITA
00657,2.0,3.0,FRE,GER
12431,8.0,0.0,SPA,ARA
02906,9.0,9.0,TEL,TEL
07525,0.0,0.0,ARA,ARA
03149,4.0,4.0,HIN,HIN
10524,9.0,0.0,TEL,ARA
04095,0.0,10.0,ARA,TUR
11027,5.0,5.0,ITA,ITA
01181,9.0,4.0,TEL,HIN
10118,5.0,5.0,ITA,ITA
07579,1.0,1.0,CHI,CHI
11600,9.0,9.0,TEL,TEL
12545,3.0,3.0,GER,GER
09254,4.0,4.0,HIN,HIN
07006,10.0,10.0,TUR,TUR
06444,10.0,10.0,TUR,TUR
12732,5.0,5.0,ITA,ITA
07096,4.0,4.0,HIN,HIN
04319,7.0,6.0,KOR,JPN
04783,10.0,10.0,TUR,TUR
05062,2.0,5.0,FRE,ITA
02240,0.0,0.0,ARA,ARA
00695,1.0,1.0,CHI,CHI
05162,8.0,8.0,SPA,SPA
07613,9.0,4.0,TEL,HIN
01514,1.0,0.0,CHI,ARA
01242,10.0,5.0,TUR,ITA
10364,8.0,8.0,SPA,SPA
04371,0.0,2.0,ARA,FRE
03630,7.0,6.0,KOR,JPN
05854,2.0,2.0,FRE,FRE
10630,0.0,2.0,ARA,FRE
11047,6.0,6.0,JPN,JPN
01002,0.0,0.0,ARA,ARA
07922,9.0,9.0,TEL,TEL
09304,4.0,4.0,HIN,HIN
03799,3.0,3.0,GER,GER
02400,9.0,4.0,TEL,HIN
04189,4.0,4.0,HIN,HIN
02003,1.0,6.0,CHI,JPN
09837,0.0,0.0,ARA,ARA
00241,4.0,4.0,HIN,HIN
10598,1.0,1.0,CHI,CHI
07327,2.0,2.0,FRE,FRE
03889,7.0,7.0,KOR,KOR
12268,10.0,10.0,TUR,TUR
02670,1.0,1.0,CHI,CHI
09740,5.0,5.0,ITA,ITA
05256,8.0,8.0,SPA,SPA
10510,2.0,8.0,FRE,SPA
06741,2.0,3.0,FRE,GER
05809,6.0,10.0,JPN,TUR
09574,10.0,10.0,TUR,TUR
01888,8.0,8.0,SPA,SPA
08248,4.0,4.0,HIN,HIN
08207,7.0,1.0,KOR,CHI
05767,1.0,1.0,CHI,CHI
09337,3.0,10.0,GER,TUR
06139,1.0,1.0,CHI,CHI
02338,9.0,9.0,TEL,TEL
11133,10.0,10.0,TUR,TUR
02546,6.0,6.0,JPN,JPN
12234,0.0,0.0,ARA,ARA
03136,5.0,5.0,ITA,ITA
09701,7.0,7.0,KOR,KOR
04444,3.0,3.0,GER,GER
12434,2.0,2.0,FRE,FRE
09441,6.0,6.0,JPN,JPN
12991,5.0,5.0,ITA,ITA
01947,3.0,3.0,GER,GER
01412,3.0,3.0,GER,GER
04106,10.0,10.0,TUR,TUR
07865,9.0,6.0,TEL,JPN
05617,7.0,7.0,KOR,KOR
02519,7.0,7.0,KOR,KOR
08827,10.0,10.0,TUR,TUR
11464,8.0,8.0,SPA,SPA
10072,3.0,3.0,GER,GER
10699,9.0,9.0,TEL,TEL
01095,5.0,8.0,ITA,SPA
02395,6.0,6.0,JPN,JPN
05194,4.0,4.0,HIN,HIN
08762,2.0,3.0,FRE,GER
11279,1.0,1.0,CHI,CHI
04743,1.0,1.0,CHI,CHI
12332,7.0,7.0,KOR,KOR
05301,7.0,7.0,KOR,KOR
02622,10.0,4.0,TUR,HIN
08642,1.0,1.0,CHI,CHI
09547,10.0,10.0,TUR,TUR
