guid,input,output,input_label,output_label,ARA,CHI,FRE,GER,HIN,ITA,JPN,KOR,SPA,TEL,TUR
04337,8.0,8.0,SPA,SPA,-0.05694832280278206,-0.8772055506706238,-0.6612869501113892,-0.5747519731521606,-1.0614721775054932,-0.7215490937232971,-1.8248728513717651,-1.0528388023376465,8.362186431884766,-1.0909373760223389,-0.8449569344520569
00223,10.0,10.0,TUR,TUR,-1.8459715843200684,-1.1805379390716553,-0.9662852883338928,0.2215014100074768,0.09945857524871826,-2.0490896701812744,-1.3031396865844727,-0.6876447796821594,-1.037311315536499,-0.7267414331436157,8.895979881286621
07858,8.0,8.0,SPA,SPA,1.137073278427124,-1.9549921751022339,-0.12238727509975433,-0.8364827632904053,-2.35937237739563,-0.8163462281227112,-0.8492621779441833,-0.5182271599769592,8.121159553527832,-1.6004961729049683,-1.2466320991516113
01504,6.0,6.0,JPN,JPN,-1.6587927341461182,-0.9223062992095947,-0.11500208079814911,-0.32522499561309814,-1.6897791624069214,-0.21373707056045532,8.15945053100586,-0.1440918743610382,-2.0331099033355713,-0.6909791827201843,-2.0581369400024414
01960,7.0,7.0,KOR,KOR,-1.7116937637329102,0.3750762939453125,-0.10979119688272476,-1.5589526891708374,-0.7686961889266968,-1.1595005989074707,-0.07596760243177414,8.624565124511719,-0.9791372418403625,-0.961454451084137,-1.2776695489883423
01232,8.0,8.0,SPA,SPA,-1.663327932357788,-0.8414862155914307,-0.7509371042251587,-1.3177305459976196,-1.401645302772522,-0.7930456399917603,-1.4241375923156738,-0.11373795568943024,7.792512893676758,-0.8224395513534546,0.1699591428041458
04198,4.0,4.0,HIN,HIN,-0.7740606665611267,-0.8490267992019653,-1.175140380859375,0.028258807957172394,8.333385467529297,-1.4492793083190918,-1.8388383388519287,-1.336098313331604,-1.9158697128295898,1.1896939277648926,-0.9109753966331482
07772,8.0,8.0,SPA,SPA,0.9510565996170044,-1.3460091352462769,-1.4982612133026123,-1.291731834411621,-1.6641900539398193,0.8171026706695557,-1.7265965938568115,-1.3955879211425781,8.220935821533203,-0.6826870441436768,-0.9462137818336487
04010,7.0,7.0,KOR,KOR,-2.2759382724761963,-0.82914137840271,-0.28609371185302734,-1.516501784324646,-0.5154210329055786,-0.6359975934028625,-0.9683901071548462,8.504667282104492,-0.43078669905662537,-0.36463603377342224,0.3136492967605591
04199,0.0,0.0,ARA,ARA,8.66330337524414,-0.6207791566848755,-0.9306115508079529,-1.3403652906417847,-0.03059311956167221,-1.7381174564361572,-0.7444740533828735,-1.9661380052566528,-1.5805610418319702,0.14990852773189545,-0.2028290331363678
06879,10.0,10.0,TUR,TUR,-2.493546962738037,-1.2864409685134888,-1.7077288627624512,-0.19669711589813232,-1.4413986206054688,-0.7445827722549438,-0.6074357628822327,1.4316762685775757,-0.7956697344779968,-1.1436495780944824,8.319108009338379
08516,1.0,1.0,CHI,CHI,-0.5524047017097473,8.973784446716309,-0.6367740631103516,-0.6250275373458862,-0.36922261118888855,-1.5240490436553955,-0.28831055760383606,-0.7882210612297058,-0.8067266345024109,-1.688780426979065,-0.6169956922531128
01871,0.0,0.0,ARA,ARA,8.74777889251709,-0.013301058672368526,-0.5873324871063232,-1.219717264175415,-1.4363954067230225,-1.8375771045684814,-0.4198298156261444,-2.142995834350586,0.10473140329122543,-0.621046245098114,-1.1082117557525635
06941,0.0,0.0,ARA,ARA,8.751909255981445,0.24824215471744537,-0.7673643827438354,-0.9968419671058655,-0.6608805060386658,-1.2669097185134888,-0.4959332346916199,-2.0686025619506836,-0.6679302453994751,-0.5116478800773621,-1.5372798442840576
10492,9.0,9.0,TEL,TEL,-0.2765215039253235,-2.1733856201171875,-1.178274154663086,-2.0053060054779053,0.8274747133255005,-0.10902930051088333,-0.2888951897621155,-1.4052807092666626,-0.845324695110321,8.119542121887207,-1.1470415592193604
02650,3.0,3.0,GER,GER,-1.8332159519195557,-0.8065335154533386,-1.36861252784729,8.495942115783691,-0.21013136208057404,-1.188761591911316,0.36481282114982605,-1.3926912546157837,-0.38633260130882263,-2.221383810043335,0.5541358590126038
04325,9.0,9.0,TEL,TEL,-0.5548010468482971,-1.9719207286834717,-1.300095796585083,-2.239675998687744,0.3761522173881531,0.07544057816267014,0.026467585936188698,-0.9036436676979065,-0.7320435643196106,7.7445831298828125,-0.2195182740688324
02135,4.0,4.0,HIN,HIN,-1.0682049989700317,-0.2603978216648102,-1.4465696811676025,-0.38720428943634033,8.293042182922363,-1.5121442079544067,-1.7138659954071045,-1.7356098890304565,-2.036397933959961,1.444178819656372,0.23013482987880707
00980,10.0,10.0,TUR,TUR,-1.6412677764892578,-1.6245604753494263,-0.7363898158073425,-0.43454909324645996,-0.29412299394607544,-1.5226385593414307,-1.1899511814117432,-0.7900519967079163,-0.6813965439796448,-0.4599520266056061,9.088248252868652
04436,6.0,6.0,JPN,JPN,-1.382965087890625,0.016382375732064247,-0.7603268623352051,-0.6195508241653442,-1.1636847257614136,-0.996222734451294,7.617114543914795,-1.6863453388214111,-1.3673690557479858,-0.6436508893966675,-1.0297176837921143
02127,6.0,6.0,JPN,JPN,-1.333964228630066,-1.2756767272949219,-0.3218806982040405,0.11496461182832718,-1.594579815864563,-0.1876557469367981,7.75924015045166,-1.6885247230529785,-1.615637183189392,-0.12331360578536987,-1.3661675453186035
03221,2.0,2.0,FRE,FRE,-1.1934211254119873,-0.04857379198074341,8.149253845214844,-1.4217370748519897,-1.2010620832443237,-0.593888521194458,-0.839161217212677,-0.47978803515434265,-0.8196408152580261,-1.7734581232070923,-0.9179539680480957
03082,0.0,0.0,ARA,ARA,8.429726600646973,0.3336140513420105,-0.8741207122802734,-0.8883484601974487,-1.2731894254684448,-1.635472297668457,0.2748556137084961,-1.8703640699386597,-0.9482375979423523,-0.24583782255649567,-1.2836475372314453
05269,1.0,1.0,CHI,CHI,0.19201311469078064,8.72779369354248,-0.5105807185173035,-1.0821044445037842,-0.2695765197277069,-1.8537073135375977,-0.3734608292579651,-0.9658828973770142,-1.2232965230941772,-1.9974926710128784,-0.4708177149295807
11438,5.0,5.0,ITA,ITA,-0.7164744138717651,-1.3745572566986084,-0.7573201656341553,-0.37108463048934937,-0.4594363570213318,8.7968168258667,-0.4055568277835846,-1.8621066808700562,-0.12085530906915665,0.09768365323543549,-1.6982829570770264
02886,1.0,1.0,CHI,CHI,0.38881200551986694,8.279570579528809,-1.3482115268707275,0.23919767141342163,-0.1525568962097168,-1.1695131063461304,0.023895064368844032,-1.6047230958938599,-1.098022699356079,-1.5598387718200684,-0.9287872314453125
