guid,input,output,input_label,output_label,ARA,CHI,FRE,GER,HIN,ITA,JPN,KOR,SPA,TEL,TUR
00012_0,3.0,3.0,GER,GER,-1.3396724462509155,-2.3592519760131836,-0.3275240361690521,8.174798011779785,0.17630194127559662,-0.24881987273693085,-1.0851632356643677,-1.7451796531677246,-0.6849835515022278,-0.9854193329811096,0.33503878116607666
00012_1,3.0,3.0,GER,GER,-1.4707388877868652,-2.964961290359497,-0.9437145590782166,8.227078437805176,-0.09581402689218521,0.4658670127391815,-1.7141486406326294,-1.6967297792434692,0.08774460107088089,-1.376166582107544,1.4712249040603638
00012_2,3.0,3.0,GER,GER,-0.45958489179611206,-1.551241397857666,-2.207213878631592,7.424691200256348,-0.5874433517456055,-1.29851496219635,-0.9546032547950745,-0.9571969509124756,0.5636195540428162,-2.0764284133911133,1.6193970441818237
00012_3,3.0,3.0,GER,GER,-1.461496114730835,-2.350653648376465,-0.84117591381073,8.448864936828613,1.015674352645874,-0.39718982577323914,-1.2028658390045166,-1.760619044303894,-0.642947793006897,-0.9292058944702148,-0.016366424039006233
00017_0,10.0,10.0,TUR,TUR,-1.3487706184387207,-2.4778125286102295,-0.8982803225517273,0.38045451045036316,0.1432286649942398,-0.751832127571106,-1.8667327165603638,-0.9555068016052246,-0.4977666735649109,-0.6316800117492676,8.773442268371582
00017_1,10.0,10.0,TUR,TUR,-1.1257517337799072,-1.7232147455215454,0.31458780169487,-0.7218019962310791,-1.8111070394515991,-0.1272737979888916,-2.0418715476989746,-0.14480796456336975,1.2736968994140625,-2.0946106910705566,8.291104316711426
00017_2,10.0,10.0,TUR,TUR,-0.517301082611084,-1.7160745859146118,-1.2277917861938477,0.2448432594537735,-0.9574853777885437,-0.6278284788131714,-2.146380662918091,-0.6817368865013123,-0.11358615010976791,-1.2651196718215942,8.952643394470215
00017_3,10.0,10.0,TUR,TUR,1.1754570007324219,0.6418195366859436,-1.4283353090286255,-2.4694228172302246,-0.7354919910430908,-2.822434186935425,-0.469805508852005,3.35957407951355,-2.2153496742248535,-0.3750655949115753,5.8392252922058105
00021_0,6.0,6.0,JPN,JPN,-0.9787843227386475,0.351765900850296,-0.6576896905899048,-2.2430944442749023,-1.7215851545333862,-1.437042474746704,7.4094038009643555,2.9175455570220947,-2.3382794857025146,-0.8116357326507568,-2.0353100299835205
00021_1,6.0,6.0,JPN,JPN,-2.1434123516082764,-1.8890414237976074,-0.15281052887439728,-1.2100870609283447,-1.308850646018982,-0.897193193435669,7.27120304107666,1.3382395505905151,-1.884806513786316,-0.3675239384174347,-0.2315865010023117
00021_2,6.0,6.0,JPN,JPN,-1.918068289756775,-1.0662790536880493,-0.7656945586204529,-1.4302699565887451,-2.0769150257110596,-0.8381971120834351,6.687870979309082,4.554276943206787,-2.068648338317871,-1.2837470769882202,-0.9073607921600342
00030_0,4.0,4.0,HIN,HIN,0.2690218389034271,-1.6220283508300781,-1.2613816261291504,-1.2497012615203857,7.468130588531494,-1.2358365058898926,-2.1499693393707275,-1.638809323310852,-1.8925495147705078,4.937348365783691,-1.8932300806045532
00030_1,4.0,4.0,HIN,HIN,-1.1196420192718506,-1.8546605110168457,-1.810694694519043,-1.203521490097046,6.952570915222168,-0.5977137088775635,-1.3327205181121826,-1.6307895183563232,-2.043607473373413,6.429065704345703,-1.822161078453064
00030_2,4.0,4.0,HIN,HIN,-1.4752122163772583,-1.1955116987228394,-1.4564813375473022,-0.6001518964767456,8.003129005432129,-1.3896201848983765,-1.6087088584899902,-0.8981733322143555,-1.8577697277069092,3.777010917663574,-1.6734459400177002
00041_0,9.0,4.0,TEL,HIN,-0.18273164331912994,-1.0519458055496216,-1.7002966403961182,-0.8352909088134766,8.384617805480957,-2.079563856124878,-1.686866044998169,-1.4014297723770142,-2.149592638015747,3.2971303462982178,-0.8946245312690735
00041_1,9.0,9.0,TEL,TEL,0.20616859197616577,-2.36124849319458,-1.5750091075897217,-1.398823857307434,6.018050193786621,-1.633070468902588,-1.4440351724624634,-1.7372034788131714,-2.405628204345703,7.060072898864746,-1.1021840572357178
00041_2,9.0,2.0,TEL,FRE,0.04207593947649002,-3.926215171813965,2.843554973602295,2.104649543762207,2.5734736919403076,0.3442300856113434,-1.4820317029953003,-2.3827707767486572,-0.9091463088989258,2.7306506633758545,-2.6434948444366455
00056_0,4.0,4.0,HIN,HIN,0.13984717428684235,-1.1796743869781494,-0.45811641216278076,0.6812993884086609,5.1707916259765625,-1.0572831630706787,-1.5909209251403809,-1.9116958379745483,-1.833287239074707,4.519033432006836,-2.571800947189331
