guid,label,output
102849_chunk1_0,Dutch,Dutch
102849_chunk1_1,Dutch,Dutch
102849_chunk1_2,Dutch,Dutch
102849_chunk1_3,Dutch,Dutch
102849_chunk1_4,Dutch,Dutch
38B0DE_chunk1_0,Bulgarian,Spanish
38B0DE_chunk1_1,Bulgarian,German
38B0DE_chunk1_2,Bulgarian,Lithuanian
38B0DE_chunk1_3,Bulgarian,Italian
38B0DE_chunk2_0,Bulgarian,German
38B0DE_chunk2_1,Bulgarian,Bulgarian
38B0DE_chunk2_2,Bulgarian,Italian
38B0DE_chunk2_3,Bulgarian,Serbian
38B0DE_chunk3_0,Bulgarian,Bulgarian
38B0DE_chunk3_1,Bulgarian,Bulgarian
38B0DE_chunk3_2,Bulgarian,German
38B0DE_chunk3_3,Bulgarian,English
5225225_chunk1_0,English,Croatian
5225225_chunk1_1,English,Lithuanian
5225225_chunk1_2,English,Slovenian
8-4_chunk1_0,Dutch,German
8-4_chunk1_1,Dutch,German
8-4_chunk1_2,Dutch,Dutch
8-4_chunk1_3,Dutch,Dutch
APFSDS-T_chunk1_0,Finish,Bulgarian
APFSDS-T_chunk1_1,Finish,Finish
APFSDS-T_chunk1_2,Finish,Russian
APFSDS-T_chunk1_3,Finish,Finish
APFSDS-T_chunk2_0,Finish,Finish
APFSDS-T_chunk2_1,Finish,Finish
APFSDS-T_chunk2_2,Finish,Finish
APFSDS-T_chunk2_3,Finish,Finish
APFSDS-T_chunk3_0,Finish,Finish
APFSDS-T_chunk3_1,Finish,Finish
APFSDS-T_chunk3_2,Finish,Russian
APFSDS-T_chunk3_3,Finish,Russian
AdminQuery1_chunk1_0,English,English
AdminQuery1_chunk1_1,English,English
AdminQuery1_chunk1_2,English,English
AdminQuery1_chunk1_3,English,Bulgarian
AdminQuery1_chunk2_0,English,Russian
AdminQuery1_chunk2_1,English,Russian
AdminQuery1_chunk2_2,English,English
AdminQuery1_chunk2_3,English,English
AdminQuery1_chunk3_0,English,English
AdminQuery1_chunk3_1,English,Russian
AdminQuery1_chunk3_2,English,Swedish
AdminQuery1_chunk3_3,English,Slovenian
AdminQuery1_chunk3_4,English,Norwegian
AlbaIulian_chunk1_0,Romanian,Romanian
AlbaIulian_chunk1_1,Romanian,Romanian
AlbaIulian_chunk1_2,Romanian,Dutch
AlbaIulian_chunk1_3,Romanian,Romanian
AlbaIulian_chunk1_4,Romanian,Finish
AlbaIulian_chunk2_0,Romanian,Romanian
AlbaIulian_chunk2_1,Romanian,Romanian
AlbaIulian_chunk2_2,Romanian,Romanian
AlbaIulian_chunk3_0,Romanian,Finish
AlbaIulian_chunk3_1,Romanian,Romanian
AlbaIulian_chunk3_2,Romanian,Romanian
Alpy94_chunk1_0,Turkish,Czech
Alpy94_chunk1_1,Turkish,Dutch
Alpy94_chunk1_2,Turkish,Czech
Alpy94_chunk2_0,Turkish,Turkish
Alpy94_chunk2_1,Turkish,Turkish
Alpy94_chunk2_2,Turkish,Czech
Alpy94_chunk3_0,Turkish,Czech
Alpy94_chunk3_1,Turkish,Turkish
Alpy94_chunk3_2,Turkish,Swedish
AmberBeard_chunk1_0,Lithuanian,Lithuanian
AmberBeard_chunk1_1,Lithuanian,English
AmberBeard_chunk1_2,Lithuanian,Lithuanian
AmberBeard_chunk1_3,Lithuanian,Lithuanian
AmberBeard_chunk2_0,Lithuanian,Dutch
AmberBeard_chunk2_1,Lithuanian,Lithuanian
AmberBeard_chunk2_2,Lithuanian,Estonian
AmberBeard_chunk3_0,Lithuanian,Norwegian
AmberBeard_chunk3_1,Lithuanian,Lithuanian
AmberBeard_chunk3_2,Lithuanian,Romanian
AmberBeard_chunk3_3,Lithuanian,Lithuanian
Antonskarp_chunk1_0,Norwegian,Estonian
Antonskarp_chunk1_1,Norwegian,Norwegian
Antonskarp_chunk1_2,Norwegian,German
Antonskarp_chunk1_3,Norwegian,German
Antonskarp_chunk2_0,Norwegian,Norwegian
Antonskarp_chunk2_1,Norwegian,Norwegian
Antonskarp_chunk2_2,Norwegian,Norwegian
Arcadess_chunk1_0,Italian,Italian
Arcadess_chunk1_1,Italian,Italian
Arcadess_chunk1_2,Italian,Italian
Arcadess_chunk1_3,Italian,Italian
Arcadess_chunk1_4,Italian,Italian
Arcadess_chunk2_0,Italian,Italian
Arcadess_chunk2_1,Italian,Swedish
Arcadess_chunk2_2,Italian,Italian
Arcadess_chunk2_3,Italian,Italian
Arcadess_chunk2_4,Italian,Italian
Arcadess_chunk3_0,Italian,Italian
Arcadess_chunk3_1,Italian,Italian
Arcadess_chunk3_2,Italian,Portuguese
Arcadess_chunk3_3,Italian,Slovenian
Arcadess_chunk3_4,Italian,Spanish
AzertyKeys_chunk1_0,French,French
AzertyKeys_chunk1_1,French,French
AzertyKeys_chunk1_2,French,French
AzertyKeys_chunk1_3,French,Bulgarian
AzertyKeys_chunk1_4,French,Italian
AzertyKeys_chunk1_5,French,French
AzertyKeys_chunk2_0,French,German
AzertyKeys_chunk2_1,French,French
AzertyKeys_chunk2_2,French,French
AzertyKeys_chunk2_3,French,French
AzertyKeys_chunk2_4,French,French
AzertyKeys_chunk3_0,French,French
AzertyKeys_chunk3_1,French,French
AzertyKeys_chunk3_2,French,Italian
AzertyKeys_chunk3_3,French,French
BULKGIFTER_chunk1_0,Romanian,Romanian
BULKGIFTER_chunk1_1,Romanian,Slovenian
BULKGIFTER_chunk1_2,Romanian,Romanian
Baz1ng4_chunk1_0,Croatian,Spanish
Baz1ng4_chunk1_1,Croatian,Slovenian
Baz1ng4_chunk1_2,Croatian,Croatian
Baz1ng4_chunk1_3,Croatian,Croatian
Baz1ng4_chunk2_0,Croatian,Croatian
Baz1ng4_chunk2_1,Croatian,Croatian
Baz1ng4_chunk2_2,Croatian,Croatian
Baz1ng4_chunk2_3,Croatian,Bulgarian
BigIrishBalls_chunk1_0,English,English
BigIrishBalls_chunk1_1,English,English
BigIrishBalls_chunk1_2,English,English
BigIrishBalls_chunk1_3,English,Czech
BigIrishBalls_chunk2_0,English,Czech
BigIrishBalls_chunk2_1,English,English
BigIrishBalls_chunk2_2,English,Dutch
BigIrishBalls_chunk3_0,English,English
BigIrishBalls_chunk3_1,English,English
BigIrishBalls_chunk3_2,English,English
Buh007_chunk1_0,Czech,Czech
Buh007_chunk1_1,Czech,Czech
Buh007_chunk1_2,Czech,Czech
Buh007_chunk1_3,Czech,Czech
BulgarianObserver_chunk1_0,Bulgarian,Bulgarian
BulgarianObserver_chunk1_1,Bulgarian,Spanish
BulgarianObserver_chunk1_2,Bulgarian,Bulgarian
BulgarianObserver_chunk1_3,Bulgarian,Bulgarian
BulgarianObserver_chunk2_0,Bulgarian,Bulgarian
BulgarianObserver_chunk2_1,Bulgarian,Bulgarian
BulgarianObserver_chunk2_2,Bulgarian,Bulgarian
BulgarianObserver_chunk2_3,Bulgarian,Norwegian
BulgarianObserver_chunk3_0,Bulgarian,Bulgarian
BulgarianObserver_chunk3_1,Bulgarian,Bulgarian
BulgarianObserver_chunk3_2,Bulgarian,Bulgarian
CharMack90_chunk1_0,Greek,Polish
CharMack90_chunk1_1,Greek,Greek
CharMack90_chunk1_2,Greek,Swedish
CharMack90_chunk1_3,Greek,Turkish
CharMack90_chunk2_0,Greek,English
CharMack90_chunk2_1,Greek,Polish
CharMack90_chunk2_2,Greek,Polish
CharMack90_chunk2_3,Greek,Hungarian
CharMack90_chunk3_0,Greek,Turkish
CharMack90_chunk3_1,Greek,Italian
CharMack90_chunk3_2,Greek,Bulgarian
CptFizz_chunk1_0,Norwegian,Bulgarian
CptFizz_chunk1_1,Norwegian,German
CptFizz_chunk1_2,Norwegian,German
CraftySpastic_chunk1_0,Slovenian,Estonian
CraftySpastic_chunk1_1,Slovenian,Slovenian
CraftySpastic_chunk1_2,Slovenian,Slovenian
CraftySpastic_chunk2_0,Slovenian,Romanian
CraftySpastic_chunk2_1,Slovenian,Slovenian
CraftySpastic_chunk2_2,Slovenian,Slovenian
CraftySpastic_chunk3_0,Slovenian,Greek
CraftySpastic_chunk3_1,Slovenian,Slovenian
CraftySpastic_chunk3_2,Slovenian,German
Crap_People_chunk1_0,Lithuanian,Lithuanian
Crap_People_chunk1_1,Lithuanian,Hungarian
Crap_People_chunk1_2,Lithuanian,German
Crap_People_chunk2_0,Lithuanian,Lithuanian
Crap_People_chunk2_1,Lithuanian,Hungarian
Crap_People_chunk2_2,Lithuanian,Lithuanian
Crap_People_chunk3_0,Lithuanian,Croatian
Crap_People_chunk3_1,Lithuanian,Lithuanian
Crap_People_chunk3_2,Lithuanian,Lithuanian
CriticalSpirit_chunk1_0,Dutch,Dutch
CriticalSpirit_chunk1_1,Dutch,French
CriticalSpirit_chunk1_2,Dutch,Dutch
CriticalSpirit_chunk1_3,Dutch,French
CriticalSpirit_chunk2_0,Dutch,Dutch
CriticalSpirit_chunk2_1,Dutch,Dutch
CriticalSpirit_chunk2_2,Dutch,Dutch
CriticalSpirit_chunk2_3,Dutch,French
CriticalSpirit_chunk3_0,Dutch,German
CriticalSpirit_chunk3_1,Dutch,Italian
CriticalSpirit_chunk3_2,Dutch,Dutch
CriticalSpirit_chunk3_3,Dutch,German
CroGamer002_chunk1_0,Croatian,Turkish
CroGamer002_chunk1_1,Croatian,Croatian
CroGamer002_chunk1_2,Croatian,Russian
CroGamer002_chunk2_0,Croatian,Croatian
CroGamer002_chunk2_1,Croatian,Turkish
CroGamer002_chunk2_2,Croatian,Turkish
CroGamer002_chunk3_0,Croatian,Serbian
CroGamer002_chunk3_1,Croatian,Croatian
CroGamer002_chunk3_2,Croatian,Serbian
Croman4998_chunk1_0,Croatian,Croatian
Croman4998_chunk1_1,Croatian,Croatian
Croman4998_chunk1_2,Croatian,Croatian
Croman4998_chunk1_3,Croatian,Croatian
Croman4998_chunk2_0,Croatian,Croatian
Croman4998_chunk2_1,Croatian,Croatian
Croman4998_chunk2_2,Croatian,Croatian
Croman4998_chunk2_3,Croatian,Serbian
Croman4998_chunk2_4,Croatian,Croatian
Cz_StRider_chunk1_0,Czech,Czech
Cz_StRider_chunk1_1,Czech,Czech
Cz_StRider_chunk1_2,Czech,Czech
Cz_StRider_chunk1_3,Czech,Czech
Cz_StRider_chunk2_0,Czech,Czech
Cz_StRider_chunk2_1,Czech,Czech
Cz_StRider_chunk2_2,Czech,Czech
Cz_StRider_chunk2_3,Czech,Czech
Czechalien_chunk1_0,Czech,Russian
Czechalien_chunk1_1,Czech,Czech
Czechalien_chunk1_2,Czech,Russian
Czechalien_chunk1_3,Czech,Russian
Czechalien_chunk1_4,Czech,Russian
Czechalien_chunk2_0,Czech,Russian
Czechalien_chunk2_1,Czech,Bulgarian
Czechalien_chunk2_2,Czech,Croatian
Czechalien_chunk2_3,Czech,English
Czechalien_chunk2_4,Czech,Czech
Czechalien_chunk3_0,Czech,Russian
Czechalien_chunk3_1,Czech,Slovenian
Czechalien_chunk3_2,Czech,Bulgarian
Czechalien_chunk3_3,Czech,Finish
Czechalien_chunk3_4,Czech,German
D0D_chunk1_0,Estonian,Estonian
D0D_chunk1_1,Estonian,Estonian
D0D_chunk2_0,Estonian,Russian
D0D_chunk2_1,Estonian,Estonian
D0D_chunk2_2,Estonian,Estonian
Dalnore_chunk1_0,Russian,Russian
Dalnore_chunk1_1,Russian,Russian
Dalnore_chunk1_2,Russian,Russian
Dalnore_chunk1_3,Russian,Czech
Dalnore_chunk2_0,Russian,Russian
Dalnore_chunk2_1,Russian,Russian
Dalnore_chunk2_2,Russian,Russian
Dalnore_chunk3_0,Russian,Lithuanian
Dalnore_chunk3_1,Russian,Estonian
Dalnore_chunk3_2,Russian,Czech
Dalnore_chunk3_3,Russian,German
Dalnore_chunk3_4,Russian,Croatian
DannyUfonek_chunk1_0,Czech,Hungarian
DannyUfonek_chunk1_1,Czech,Czech
DannyUfonek_chunk1_2,Czech,Romanian
DannyUfonek_chunk1_3,Czech,French
DannyUfonek_chunk1_4,Czech,Czech
DannyUfonek_chunk2_0,Czech,Czech
DannyUfonek_chunk2_1,Czech,Czech
DannyUfonek_chunk2_2,Czech,Czech
DannyUfonek_chunk2_3,Czech,Czech
DannyUfonek_chunk2_4,Czech,Czech
DannyUfonek_chunk2_5,Czech,German
DannyUfonek_chunk3_0,Czech,Portuguese
DannyUfonek_chunk3_1,Czech,Italian
DannyUfonek_chunk3_2,Czech,Czech
DannyUfonek_chunk3_3,Czech,Bulgarian
DannyUfonek_chunk3_4,Czech,Czech
Decadancer_chunk1_0,Russian,Russian
Decadancer_chunk1_1,Russian,Russian
Decadancer_chunk1_2,Russian,Turkish
Decadancer_chunk1_3,Russian,Turkish
Decadancer_chunk2_0,Russian,Russian
Decadancer_chunk2_1,Russian,Russian
Decadancer_chunk2_2,Russian,Russian
Decadancer_chunk2_3,Russian,Slovenian
DivineKing_chunk1_0,English,English
DivineKing_chunk1_1,English,English
DivineKing_chunk1_2,English,English
DivineKing_chunk1_3,English,Greek
DivineKing_chunk2_0,English,Romanian
DivineKing_chunk2_1,English,Swedish
DivineKing_chunk2_2,English,English
DivineKing_chunk2_3,English,Russian
DivineKing_chunk3_0,English,German
DivineKing_chunk3_1,English,Croatian
DivineKing_chunk3_2,English,Russian
DivineKing_chunk3_3,English,Italian
DrTacoLord_chunk1_0,Spanish,Russian
DrTacoLord_chunk1_1,Spanish,Spanish
DrTacoLord_chunk1_2,Spanish,French
Dracaras_chunk1_0,Turkish,Turkish
Dracaras_chunk1_1,Turkish,Turkish
