guid,label,output
1Warrior4All_chunk1_0,Portuguese,Portuguese
1Warrior4All_chunk1_1,Portuguese,Portuguese
1Warrior4All_chunk1_2,Portuguese,Portuguese
6unauss_chunk1_0,Estonian,Estonian
6unauss_chunk1_1,Estonian,Russian
6unauss_chunk1_2,Estonian,Estonian
6unauss_chunk1_3,Estonian,Estonian
6unauss_chunk2_0,Estonian,Estonian
6unauss_chunk2_1,Estonian,Romanian
6unauss_chunk2_2,Estonian,Estonian
6unauss_chunk2_3,Estonian,Estonian
ANAL_McDICK_RAPE_chunk1_0,English,Finish
ANAL_McDICK_RAPE_chunk1_1,English,Bulgarian
ANAL_McDICK_RAPE_chunk1_2,English,English
ANAL_McDICK_RAPE_chunk1_3,English,English
ANAL_McDICK_RAPE_chunk1_4,English,English
ASeriouswoMan_chunk1_0,Bulgarian,Bulgarian
ASeriouswoMan_chunk1_1,Bulgarian,Bulgarian
ASeriouswoMan_chunk1_2,Bulgarian,Bulgarian
ASeriouswoMan_chunk1_3,Bulgarian,Bulgarian
ASeriouswoMan_chunk1_4,Bulgarian,Czech
ASeriouswoMan_chunk2_0,Bulgarian,Bulgarian
ASeriouswoMan_chunk2_1,Bulgarian,Dutch
ASeriouswoMan_chunk2_2,Bulgarian,Bulgarian
ASeriouswoMan_chunk2_3,Bulgarian,Dutch
ASeriouswoMan_chunk2_4,Bulgarian,Bulgarian
Aga-Ugu_chunk1_0,Russian,Russian
Aga-Ugu_chunk1_1,Russian,Russian
Aga-Ugu_chunk1_2,Russian,Russian
Aga-Ugu_chunk1_3,Russian,Russian
AluekomentajaArje_chunk1_0,Finish,Finish
AluekomentajaArje_chunk1_1,Finish,German
AluekomentajaArje_chunk1_2,Finish,Swedish
AluekomentajaArje_chunk1_3,Finish,Dutch
AluekomentajaArje_chunk1_4,Finish,Finish
AluekomentajaArje_chunk2_0,Finish,Finish
AluekomentajaArje_chunk2_1,Finish,Finish
AluekomentajaArje_chunk2_2,Finish,Finish
AluekomentajaArje_chunk2_3,Finish,Finish
AluekomentajaArje_chunk2_4,Finish,Finish
AluekomentajaArje_chunk3_0,Finish,French
AluekomentajaArje_chunk3_1,Finish,Finish
AluekomentajaArje_chunk3_2,Finish,Finish
AluekomentajaArje_chunk3_3,Finish,Finish
AluekomentajaArje_chunk3_4,Finish,Finish
Bal_u_chunk1_0,Hungarian,Dutch
Bal_u_chunk1_1,Hungarian,Hungarian
Bal_u_chunk1_2,Hungarian,Hungarian
Bal_u_chunk1_3,Hungarian,Hungarian
Behenk_chunk1_0,Dutch,Turkish
Behenk_chunk1_1,Dutch,Dutch
Behenk_chunk1_2,Dutch,Dutch
Behenk_chunk1_3,Dutch,Dutch
Behenk_chunk2_0,Dutch,German
Behenk_chunk2_1,Dutch,German
Behenk_chunk2_2,Dutch,Dutch
Behenk_chunk2_3,Dutch,Swedish
Behenk_chunk3_0,Dutch,Bulgarian
Behenk_chunk3_1,Dutch,Dutch
Behenk_chunk3_2,Dutch,Slovenian
Behenk_chunk3_3,Dutch,Croatian
BigotedCaveman_chunk1_0,Spanish,Spanish
BigotedCaveman_chunk1_1,Spanish,Spanish
BigotedCaveman_chunk1_2,Spanish,Swedish
BigotedCaveman_chunk1_3,Spanish,Italian
BigotedCaveman_chunk2_0,Spanish,Romanian
BigotedCaveman_chunk2_1,Spanish,Bulgarian
BigotedCaveman_chunk2_2,Spanish,Portuguese
BigotedCaveman_chunk2_3,Spanish,Polish
